AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0116,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Office,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0116,2026-04-14
NCSC-2026-0118,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft SQL Server,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0118,2026-04-14
NCSC-2026-0117,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Azure,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0117,2026-04-14
NCSC-2026-0115,[1.00],[M/H],Kwetsbaarheid verholpen in Microsoft System Center,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0115,2026-04-14
NCSC-2026-0114,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Developer tools,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0114,2026-04-14
NCSC-2026-0113,[1.00],[M/H],Kwetsbaarheden verholpen in SAP-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0113,2026-04-14
NCSC-2026-0112,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0112,2026-04-14
