AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0293,[1.00],[M/H],Kwetsbaarheden verholpen in Zoom,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0293,2026-08-12
NCSC-2026-0280,[1.00],[M/H],Kwetsbaarheid verholpen in macOS Screen Sharing door Apple,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0280,2026-08-12
NCSC-2026-0292,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Commerce,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0292,2026-08-12
NCSC-2026-0291,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Campaign Classic,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0291,2026-08-12
NCSC-2026-0289,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Exchange server,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0289,2026-08-12
NCSC-2026-0287,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Azure,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0287,2026-08-12
