AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0187,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0187,2026-06-09
NCSC-2026-0186,[1.00],[M/H],Kwetsbaarheid verholpen in Microsoft Dynamics,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0186,2026-06-09
NCSC-2026-0185,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Exchange,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0185,2026-06-09
NCSC-2026-0184,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Developer Tools,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0184,2026-06-09
NCSC-2026-0183,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Azure,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0183,2026-06-09
NCSC-2026-0182,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Office,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0182,2026-06-09
NCSC-2026-0181,[1.00],[H/H],Kwetsbaarheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0181,2026-06-09
NCSC-2026-0180,[1.00],[M/H],Kwetsbaarheden verholpen in Ivanti Sentry,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0180,2026-06-09
