AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0364,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Illustrator,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0364,2026-09-09
NCSC-2026-0363,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Experience Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0363,2026-09-09
NCSC-2026-0362,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe ColdFusion,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0362,2026-09-09
NCSC-2026-0361,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Commerce,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0361,2026-09-09
NCSC-2026-0360,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Photoshop Desktop,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0360,2026-09-09
NCSC-2026-0359,[1.00],[M/H],Kwetsbaarheid verholpen in Ivanti Endpoint Manager Mobile,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0359,2026-09-09
NCSC-2026-0358,[1.00],[M/H],Kwetsbaarheden verholpen in Ivanti Neurons for ITSM,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0358,2026-09-09
NCSC-2026-0357,[1.00],[M/H],Kwetsbaarheid verholpen in Ivanti Sentry,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0357,2026-09-09
NCSC-2026-0356,[1.00],[M/H],Kwetsbaarheden verholpen in diverse SAP-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0356,2026-09-09
NCSC-2026-0355,[1.00],[M/H],Kwetsbaarheden verholpen in Fortinet Forti-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0355,2026-09-09
NCSC-2026-0354,[1.00],[M/H],Kwetsbaarheid verholpen in Google Chrome,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0354,2026-09-09
NCSC-2026-0353,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0353,2026-09-09
