AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0371,[1.00],[M/H],Kwetsbaarheden verholpen in Apple macOS en Samba door Apple en Samba,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0371,2026-09-15
NCSC-2026-0370,[1.00],[M/H],Kwetsbaarheden verholpen in Apple iOS en iPadOS,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0370,2026-09-15
NCSC-2026-0369,[1.00],[M/H],Kwetsbaarheid verholpen in Palo Alto Networks PAN-OS,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0369,2026-09-15
