AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0194,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe InDesign Desktop,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0194,2026-06-11
NCSC-2026-0193,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Dreamweaver Desktop,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0193,2026-06-11
NCSC-2026-0192,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Acrobat Reader,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0192,2026-06-11
NCSC-2026-0191,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe ColdFusion,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0191,2026-06-11
NCSC-2026-0190,[1.00],[M/H],Kwetsbaarheden verholpen in Ivanti Endpoint Manager Mobile,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0190,2026-06-11
NCSC-2026-0189,[1.00],[M/H],Kwetsbaarheid verholpen in Fortinet FortiSandbox,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0189,2026-06-11
