AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0152,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Commerce,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0152,2026-05-13
NCSC-2026-0151,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Connect,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0151,2026-05-13
NCSC-2026-0150,[1.00],[M/H],Kwetsbaarheden verholpen in Adobe Illustrator,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0150,2026-05-13
NCSC-2026-0149,[1.00],[M/H],Kwetsbaarheid verholpen in Cisco Crosswork Network Controller,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0149,2026-05-13
NCSC-2026-0148,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Edge (Chromium),https://advisories.ncsc.nl/advisory?id=NCSC-2026-0148,2026-05-13
NCSC-2026-0147,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0147,2026-05-13
