AdvisoryID,Version,Severity,Description,Link
NCSC-2026-0083,[1.00],[M/H],Kwetsbaarheid verholpen in Microsoft Authenticator app,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0083
NCSC-2026-0082,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Azure,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0082
NCSC-2026-0081,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft SQL Server,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0081
NCSC-2026-0080,[1.00],[M/H],Kwetsbaarheden verholpen in Microsoft Windows,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0080
NCSC-2026-0059,[1.00],[M/H],Kwetsbaarheden verholpen in Ivanti Endpoint Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0059
NCSC-2026-0079,[1.00],[M/H],Kwetsbaarheden verholpen in Siemens producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0079
