AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0207,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Fusion Middleware producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0207,2026-06-17
NCSC-2026-0206,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle JD Edwards EnterpriseOne,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0206,2026-06-17
NCSC-2026-0205,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle MySQL-producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0205,2026-06-17
NCSC-2026-0204,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle PeopleSoft Enterprise,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0204,2026-06-17
NCSC-2026-0203,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle VM VirtualBox,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0203,2026-06-17
NCSC-2026-0202,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Enterprise Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0202,2026-06-17
NCSC-2026-0201,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle E-Business Suite producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0201,2026-06-17
NCSC-2026-0200,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Communications,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0200,2026-06-17
