AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0300,[1.00],[M/H],Kwetsbaarheden verholpen in Fortinet FortiWeb,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0300,2026-08-13
NCSC-2026-0299,[1.00],[M/H],Kwetsbaarheid verholpen in Fortinet FortiManager,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0299,2026-08-13
NCSC-2026-0298,[1.00],[M/H],Kwetsbaarheden verholpen in Autodesk AutoCAD,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0298,2026-08-13
NCSC-2026-0297,[1.00],[M/H],Kwetsbaarheden verholpen in GitLab Enterprise Edition en Community Edition,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0297,2026-08-13
NCSC-2026-0296,[1.00],[M/H],Kwetsbaarheid verholpen in Fortinet FortiClient,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0296,2026-08-13
