AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0381,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle PeopleSoft Enterprise,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0381,2026-09-16
NCSC-2026-0380,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Java SE,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0380,2026-09-16
NCSC-2026-0379,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Analytics,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0379,2026-09-16
NCSC-2026-0378,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Financial Services,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0378,2026-09-16
NCSC-2026-0377,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Enterprise Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0377,2026-09-16
NCSC-2026-0376,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle E-Business Suite,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0376,2026-09-16
NCSC-2026-0375,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Communications,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0375,2026-09-16
NCSC-2026-0374,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Commerce Platform,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0374,2026-09-16
NCSC-2026-0373,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Database Producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0373,2026-09-16
NCSC-2026-0372,[1.00],[H/H],Kwetsbaarheden verholpen in Oracle Fusion Middleware,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0372,2026-09-16
