AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0320,[1.00],[M/H],Kwetsbaarheden verholpen in Zabbix,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0320,2026-08-20
NCSC-2026-0319,[1.00],[M/H],Kwetsbaarheden verholpen in Apple iOS en iPadOS,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0319,2026-08-20
NCSC-2026-0318,[1.00],[M/M],Kwetsbaarheden verholpen in Citrix NetScaler ADC en NetScaler Gateway,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0318,2026-08-20
NCSC-2026-0317,[1.00],[M/H],Kwetsbaarheden verholpen in Apple macOS,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0317,2026-08-20
