AdvisoryID,Version,Severity,Description,Link,ReleaseDate
NCSC-2026-0314,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Java SE,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0314,2026-08-19
NCSC-2026-0313,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Business Intelligence Enterprise Edition en Oracle BI Publisher,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0313,2026-08-19
NCSC-2026-0312,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Financial Services,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0312,2026-08-19
NCSC-2026-0311,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Enterprise Manager,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0311,2026-08-19
NCSC-2026-0310,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle E-Business Suite,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0310,2026-08-19
NCSC-2026-0309,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Communications,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0309,2026-08-19
NCSC-2026-0308,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Commerce Platform,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0308,2026-08-19
NCSC-2026-0307,[1.00],[M/H],Kwetsbaarheden verholpen in Oracle Database Producten,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0307,2026-08-19
NCSC-2026-0306,[1.00],[H/H],Kwetsbaarheden verholpen in Oracle Fusion Middleware,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0306,2026-08-19
NCSC-2026-0305,[1.00],[M/H],Kwetsbaarheden verholpen in Mattermost,https://advisories.ncsc.nl/advisory?id=NCSC-2026-0305,2026-08-19
